"Time","Diffus","Global 0°","Global 45°","Global 60°","Global 30°","ClearSky 0° F"
2023-01-01 10:25:00,101 W/m²,405 W/m²,895 W/m²,921 W/m²,805 W/m²,378 W/m²
2023-01-01 10:30:00,97.2 W/m²,389 W/m²,855 W/m²,881 W/m²,769 W/m²,382 W/m²
2023-01-01 10:35:00,96.2 W/m²,385 W/m²,840 W/m²,866 W/m²,757 W/m²,386 W/m²
2023-01-01 10:40:00,97.9 W/m²,390 W/m²,847 W/m²,874 W/m²,762 W/m²,390 W/m²
2023-01-01 10:45:00,101 W/m²,422 W/m²,918 W/m²,949 W/m²,827 W/m²,393 W/m²
2023-01-01 10:50:00,103 W/m²,437 W/m²,948 W/m²,981 W/m²,855 W/m²,396 W/m²
2023-01-01 10:55:00,104 W/m²,427 W/m²,923 W/m²,955 W/m²,832 W/m²,398 W/m²
2023-01-01 11:00:00,105 W/m²,424 W/m²,914 W/m²,947 W/m²,825 W/m²,401 W/m²
2023-01-01 11:05:00,106 W/m²,417 W/m²,894 W/m²,927 W/m²,807 W/m²,402 W/m²
2023-01-01 11:10:00,108 W/m²,440 W/m²,946 W/m²,982 W/m²,854 W/m²,404 W/m²
2023-01-01 11:15:00,111 W/m²,453 W/m²,970 W/m²,1.01 kW/m²,876 W/m²,405 W/m²
2023-01-01 11:20:00,112 W/m²,444 W/m²,948 W/m²,988 W/m²,856 W/m²,405 W/m²
2023-01-01 11:25:00,114 W/m²,415 W/m²,875 W/m²,913 W/m²,792 W/m²,406 W/m²
2023-01-01 11:30:00,119 W/m²,411 W/m²,859 W/m²,897 W/m²,779 W/m²,406 W/m²
2023-01-01 11:35:00,128 W/m²,416 W/m²,863 W/m²,900 W/m²,782 W/m²,405 W/m²
2023-01-01 11:40:00,135 W/m²,408 W/m²,838 W/m²,873 W/m²,759 W/m²,404 W/m²
2023-01-01 11:45:00,142 W/m²,434 W/m²,889 W/m²,929 W/m²,807 W/m²,403 W/m²
2023-01-01 11:50:00,150 W/m²,444 W/m²,907 W/m²,948 W/m²,823 W/m²,401 W/m²
2023-01-01 11:55:00,158 W/m²,436 W/m²,882 W/m²,921 W/m²,800 W/m²,399 W/m²
2023-01-01 12:00:00,168 W/m²,460 W/m²,928 W/m²,971 W/m²,844 W/m²,397 W/m²
2023-01-01 12:05:00,177 W/m²,440 W/m²,874 W/m²,914 W/m²,797 W/m²,394 W/m²
2023-01-01 12:10:00,184 W/m²,416 W/m²,812 W/m²,848 W/m²,742 W/m²,391 W/m²
2023-01-01 12:15:00,191 W/m²,373 W/m²,708 W/m²,737 W/m²,649 W/m²,388 W/m²
2023-01-01 12:20:00,190 W/m²,357 W/m²,672 W/m²,699 W/m²,616 W/m²,384 W/m²
2023-01-01 12:25:00,186 W/m²,318 W/m²,583 W/m²,604 W/m²,537 W/m²,380 W/m²
2023-01-01 12:30:00,181 W/m²,264 W/m²,464 W/m²,478 W/m²,430 W/m²,375 W/m²
2023-01-01 12:35:00,176 W/m²,257 W/m²,461 W/m²,476 W/m²,427 W/m²,370 W/m²
2023-01-01 12:40:00,169 W/m²,243 W/m²,441 W/m²,457 W/m²,408 W/m²,365 W/m²
2023-01-01 12:45:00,161 W/m²,253 W/m²,479 W/m²,500 W/m²,441 W/m²,359 W/m²
2023-01-01 12:50:00,154 W/m²,265 W/m²,522 W/m²,549 W/m²,478 W/m²,353 W/m²
2023-01-01 12:55:00,149 W/m²,283 W/m²,575 W/m²,609 W/m²,525 W/m²,347 W/m²
2023-01-01 13:00:00,143 W/m²,274 W/m²,562 W/m²,597 W/m²,512 W/m²,340 W/m²
2023-01-01 13:05:00,137 W/m²,233 W/m²,470 W/m²,498 W/m²,428 W/m²,333 W/m²
2023-01-01 13:10:00,134 W/m²,233 W/m²,478 W/m²,509 W/m²,434 W/m²,326 W/m²
2023-01-01 13:15:00,131 W/m²,251 W/m²,528 W/m²,565 W/m²,478 W/m²,318 W/m²
2023-01-01 13:20:00,123 W/m²,217 W/m²,451 W/m²,481 W/m²,409 W/m²,311 W/m²
2023-01-01 13:25:00,114 W/m²,174 W/m²,354 W/m²,376 W/m²,321 W/m²,302 W/m²
2023-01-01 13:30:00,107 W/m²,198 W/m²,429 W/m²,462 W/m²,386 W/m²,294 W/m²
2023-01-01 13:35:00,103 W/m²,255 W/m²,592 W/m²,642 W/m²,528 W/m²,285 W/m²
2023-01-01 13:40:00,95.4 W/m²,260 W/m²,621 W/m²,678 W/m²,552 W/m²,276 W/m²
2023-01-01 13:45:00,91.6 W/m²,314 W/m²,778 W/m²,855 W/m²,689 W/m²,267 W/m²
2023-01-01 13:50:00,85.0 W/m²,297 W/m²,750 W/m²,826 W/m²,662 W/m²,257 W/m²
2023-01-01 13:55:00,79.9 W/m²,275 W/m²,701 W/m²,780 W/m²,622 W/m²,248 W/m²
